Rk,Player,Team,Position
1,"Chase, Ja'Marr",CIN,WR
2,"Barkley, Saquon",PHI,RB
3,"Robinson, Bijan",ATL,RB
4,"Gibbs, Jahmyr",DET,RB
5,"Jefferson, Justin",MIN,WR
6,"Lamb, CeeDee",DAL,WR
7,"Henry, Derrick",BAL,RB
8,"McCaffrey, Christian",SFO,RB
9,"Nabers, Malik",NYG,WR
10,"Jeanty, Ashton",LVR,RB
11,"Nacua, Puka",LAR,WR
12,"Collins, Nico",HOU,WR
13,"St. Brown, Amon-Ra",DET,WR
14,"Achane, De'Von",MIA,RB
15,"Thomas Jr., Brian",JAC,WR
16,"Jacobs, Josh",GBP,RB
17,"Taylor, Jonathan",IND,RB
18,"London, Drake",ATL,WR
19,"Brown, A.J.",PHI,WR
20,"Irving, Bucky",TBB,RB
21,"Bowers, Brock",LVR,TE
22,"Brown, Chase",CIN,RB
23,"Williams, Kyren",LAR,RB
24,"Jackson, Lamar",BAL,QB
25,"Higgins, Tee",CIN,WR
26,"McConkey, Ladd",LAC,WR
27,"Hill, Tyreek",MIA,WR
28,"Allen, Josh",BUF,QB
29,"McBride, Trey",ARI,TE
30,"Daniels, Jayden",WAS,QB
31,"Hampton, Omarion",LAC,RB
32,"Cook, James",BUF,RB
33,"Kittle, George",SFO,TE
34,"Hurts, Jalen",PHI,QB
35,"Wilson, Garrett",NYJ,WR
36,"Evans, Mike",TBB,WR
37,"Adams, Davante",LAR,WR
38,"Smith-Njigba, Jaxon",SEA,WR
39,"Harrison Jr., Marvin",ARI,WR
40,"Kamara, Alvin",NOS,RB
41,"McLaurin, Terry",WAS,WR
42,"Hall, Breece",NYJ,RB
43,"Hubbard, Chuba",CAR,RB
44,"Metcalf, DK",PIT,WR
45,"Conner, James",ARI,RB
46,"Walker III, Kenneth",SEA,RB
47,"Moore, D.J.",CHI,WR
48,"Burrow, Joe",CIN,QB
49,"Sutton, Courtland",DEN,WR
50,"Smith, DeVonta",PHI,WR
51,"Worthy, Xavier",KCC,WR
52,"McMillan, Tetairoa",CAR,WR
53,"Williams, Jameson",DET,WR
54,"Henderson, TreVeyon",NEP,RB
55,"Ridley, Calvin",TEN,WR
56,"Pickens, George",DAL,WR
57,"Waddle, Jaylen",MIA,WR
58,"LaPorta, Sam",DET,TE
59,"Flowers, Zay",BAL,WR
60,"Pollard, Tony",TEN,RB
61,"Montgomery, David",DET,RB
62,"Harvey, RJ",DEN,RB
63,"Rice, Rashee",KCC,WR
64,"Hunter, Travis",JAC,WR
65,"Swift, D'Andre",CHI,RB
66,"Pacheco, Isiah",KCC,RB
67,"Hockenson, T.J.",MIN,TE
68,"Olave, Chris",NOS,WR
69,"Kelce, Travis",KCC,TE
70,"Odunze, Rome",CHI,WR
71,"Andrews, Mark",BAL,TE
72,"Jeudy, Jerry",CLE,WR
73,"Johnson, Kaleb",PIT,RB
74,"Jones, Aaron",MIN,RB
75,"Meyers, Jakobi",LVR,WR
76,"Mahomes, Patrick",KCC,QB
77,"Samuel, Deebo",WAS,WR
78,"Njoku, David",CLE,TE
79,"Robinson, Brian",WAS,RB
80,"Diggs, Stefon",NEP,WR
81,"Mayfield, Baker",TBB,QB
82,"Warren, Jaylen",PIT,RB
83,"Addison, Jordan",MIN,WR
84,"Jennings, Jauan",SFO,WR
85,"Pearsall, Ricky",SFO,WR
86,"Tracy, Tyrone",NYG,RB
87,"Reed, Jayden",GBP,WR
88,"Nix, Bo",DEN,QB
89,"Kraft, Tucker",GBP,TE
90,"Golden, Matthew",GBP,WR
91,"Shakir, Khalil",BUF,WR
92,"Murray, Kyler",ARI,QB
93,"Engram, Evan",DEN,TE
94,"Godwin, Chris",TBB,WR
95,"Fields, Justin",NYJ,QB
96,"Warren, Tyler",IND,TE
97,"Egbuka, Emeka",TBB,WR
98,"Kincaid, Dalton",BUF,TE
99,"Goedert, Dallas",PHI,TE
100,"Kupp, Cooper",SEA,WR
101,"Ferguson, Jake",DAL,TE
102,"Mason, Jordan",MIN,RB
103,"Purdy, Brock",SFO,QB
104,"Dobbins, J.K.",DEN,RB
105,"Downs, Josh",IND,WR
106,"Mixon, Joe",HOU,RB
107,"Loveland, Colston",CHI,TE
108,"Shaheed, Rashid",NOS,WR
109,"Etienne, Travis",JAC,RB
110,"Coleman, Keon",BUF,WR
111,"Prescott, Dak",DAL,QB
112,"Williams, Caleb",CHI,QB
113,"Mooney, Darnell",ATL,WR
114,"Pittman, Michael",IND,WR
115,"Judkins, Quinshon",CLE,RB
116,"Stroud, C.J.",HOU,QB
117,"Herbert, Justin",LAC,QB
118,"Maye, Drake",NEP,QB
119,"Pitts, Kyle",ATL,TE
120,"Charbonnet, Zach",SEA,RB
121,"Henry, Hunter",NEP,TE
122,"Goff, Jared",DET,QB
123,"Love, Jordan",GBP,QB
124,"Ertz, Zach",WAS,TE
125,"Lawrence, Trevor",JAC,QB
126,"Smith, Jonnu",PIT,TE
127,"Aubrey, Brandon",DAL,PK
128,"Higgins, Jayden",HOU,WR
129,"Aiyuk, Brandon",SFO,WR
130,"Stevenson, Rhamondre",NEP,RB
131,"Spears, Tyjae",TEN,RB
132,"Skattebo, Cam",NYG,RB
133,"Kirk, Christian",HOU,WR
134,"Mims, Marvin",DEN,WR
135,"Okonkwo, Chigoziem",TEN,TE
136,"Williams, Javonte",DAL,RB
137,"Brown, Marquise",KCC,WR
138,"Likely, Isaiah",BAL,TE
139,"Bateman, Rashod",BAL,WR
140,"Ekeler, Austin",WAS,RB
141,"Harris, Najee",LAC,RB
142,"McCarthy, J.J.",MIN,QB
143,"Strange, Brenton",JAC,TE
144,"Gesicki, Mike",CIN,TE
